"","req","item_req","texto_req","grupo_mercadoria","nm","valor_estimado","oportunidade","item_oportunidade"
"2260","0031143551",10,"Visor nível flut.mag. 1500mm","41112407B","000000000012155453",23924.08,"7003563016",4
"2261","0030366416",10,"Atuador pneum. rotativo giro 0-90º","31251504","000000000011151069",321286.57,"7003761614",2
"2262","0029203275",10,"Válvula dilúvio DN 2""","46191602A","000000000011895355",19439.2,NA,0
"2263","0030735897",10,"União (luva) 1/2"" anilha dupla","40183103","000000000012527035",902.74,"7003552075",4
"2264","0030929012",10,"Válv.múltipla 2vv. AI 316","40141600H","000000000012293896",25970.52,"7003552075",5
"2265","0030932181",10,"Transm.nível displacer 0a27m","41111938","000000000010889854",89082.32,NA,0
"2266","0027093221",10,"Motor elétrico CC 8,8kW 125V 4p Ex d","26101200A","000000000012059029",8000,NA,0
"2267","0027093221",20,"Motor elétrico CC 8,8kW 125V 4p Ex d","26101200A","000000000012059029",8000,"7003156650",1
"2268","0027093221",30,"Motor elétrico CC 8,8kW 125V 4p Ex d","26101200A","000000000012059029",8000,"7003552078",1
"2269","0030534445",10,"Módulo tiristor p/contr.sist.aquec.","32111700B","000000000012155594",30000,NA,0
"2270","0030937188",10,"Pino contato p/disj. Cutler-Hammer","39121600A","000000000011574230",9987.34,"7003775703",1
"2271","0031185304",10,"Terminação polimérica 35kV 300mm²","39121712","000000000012646586",1664.82,"7003552080",11
"2272","0030104233",10,"Detector CO2 0-2%Vol 18a32Vcc","41113117","000000000011590364",11673.39,NA,0
"2273","0030104233",20,"Detector CO2 0-2%Vol 18a32Vcc","41113117","000000000011590364",8104.19,NA,0
"2274","4003017319",10,"Flange de Aço Tipo Sobreposto; 2 lotes","40142408A",NA,1,"7003549428",1
"2275","4003017319",20,"Flange de Redução em Aço; 2 Lotes","40142400A",NA,1,"7003549428",2
"2276","4003017319",30,"Flange de Aço Tipo Roscado; 2 Lotes","40142411A",NA,1,"7003549428",3
"2277","0030399874",20,"Célula carga compressão 0a45ton","41112108","000000000011437476",15034.09,NA,0
"2278","0029889761",30,"Curva 90º RL PRFV 6""","40142309C","000000000012527306",290,NA,0
"2279","0031178796",10,"Transm.vazão eletromag. 0a800m3/h","41112516","000000000011547380",90444.72,NA,0
"2280","0030106168",10,"Válvula hidráulica Vazão","40141608","000000000011872260",20000,"7003568786",4
"2281","0028693016",10,"Vv.controle globo NPS 1 Cv18,5","40141609","000000000011020931",62005.97,"7003418152",3
"2282","0030643639",10,"Cabo el. aquecimento 80ºC 230Vca","26121601","000000000012608864",246.24,NA,0
"2283","0030810430",10,"Cabo el. controle 1kV 2x 1,5mm² PVC/A","26121603","000000000010810331",44.8,"7003552093",5
"2284","0030810877",10,"Cabo pot nav 1kV 1x 240mm² HF XLPE SHF1","26121629A","000000000011228750",194.84,NA,0
"2285","0030770906",10,"Tubo tr.térm. c/c 0.750 x 0.065""","40101800A","000000000011935580",240.83,"7003802589",1
"2286","0030399874",10,"Célula carga compressão 0a45ton","41112108","000000000011437476",15034.09,NA,0
"2287","0029853251",10,"Conector trans AC 3"" RO 5Bxlisa","40142300B","000000000010080045",7242.96,"7003553836",2
"2288","0029889761",10,"Curva 90º RL PRFV 6""","40142309C","000000000012527306",290,NA,0
"2289","0029889761",20,"Curva 90º RL PRFV 6""","40142309C","000000000012527306",290,"7003553836",3
"2290","0030551489",10,"Tê fb vd/epóxi 4""","40142319C","000000000011017418",1900,"7003553836",4
"2291","0031330691",10,"Lumin. LED 200W 100-277Vca","39111501A","000000000012594112",1827.58,"7003661114",3
"2292","0031441515",10,"Lumin. LED 150W","39111501A","000000000012166442",908.85,"7003661114",8
"2293","0030554933",10,"Válv. regul. pressão DN1""","41112404","000000000012173328",44764.26,"7003662871",1
"2294","0029740567",10,"Transm.vazão vortex 40,5a1648m3/h","41112516","000000000012527149",115845.53,NA,0
"2295","0028585827",10,"Vv.controle esfera NPS 3","40141609","000000000011152251",80724.18,NA,0
"2296","0028585827",20,"Vv.controle esfera NPS 3","40141609","000000000011152251",81870.21,"7003662544",1
"2297","0030132425",10,"Vv.controle esfera NPS 14","40141609","000000000011620515",30000,"7003662544",9
"2298","0030456681",10,"Vv.controle esfera NPS 2 Cv490","40141609","000000000012433868",7867.99,"7003662544",11
"2299","0029943199",10,"Disjuntor aberto 3P 1kV/60Hz 2000A","39121601C","000000000012535185",58833.68,"7003405898",1
"2300","0029536346",10,"Anodo galvân. zinco NBR 9358 ZQS-40","31120000A","000000000011635352",726.69,NA,0
"2301","0029536346",20,"Anodo galvân. zinco NBR 9358 ZQS-40","31120000A","000000000011635352",1198.51,"7003526866",1
"2302","0029882053",10,"Anodo galvân. zinco NBR 9358 NZTR-230-DC","31120000A","000000000012372134",1478,"7003403283",2
"2303","0030253630",10,"Válv. regul. pressão DN4"" Cv66","41112404","000000000012366517",60000,"7003527523",2
"2304","0030253630",20,"Válv. regul. pressão DN4"" Cv66","41112404","000000000012366517",23000,NA,0
"2305","0029775140",10,"Transm.nível piezores. 0a35mH2O","41111938","000000000012533047",8375.44,NA,0
"2306","0029775140",20,"Transm.nível piezores. 0a35mH2O","41111938","000000000012533047",12886.5,"7003403022",1
"2307","0029594455",10,"Motor el. 3F 2p 1340,0kW 13,8kV Ex px","26101114","000000000011909188",60000,"7003405075",1
"2308","0030596663",10,"Tubo rep. epóxi reforç. c/ fibra vidro 2","40142100A","000000000010273634",1533.76,NA,0
"2309","0030826416",10,"Válvula borboleta lug 30"" 150# A536-65-4","40141619","000000000011503725",88837.88,NA,0
"2310","0031024026",10,"Relé multifunção digital f=27 f=32 f=40","39122323","000000000011181925",24997.77,"7003572521",7
"2311","0031091438",10,"Relé multifunção digital f=25 f=27 f=32","39122323","000000000012136572",32478.52,NA,0
"2312","0030667628",10,"Porta fusível p/fusível vidr.","39121617","000000000010838144",95.9,"7003569392",2
"2313","0031043487",10,"Porta fusível p/fusível vidr.","39121617","000000000010838144",95.9,"7003569392",4
"2314","0030429286",10,"Válv. regul. pressão DN2"" Cv7,52","41112404","000000000011819572",25682.25,NA,0
"2315","0028934890",10,"Válvula seg/alív. 8x 10"" FR A995-6A","40141606","000000000012035784",9500,NA,0
"2316","0028934890",20,"Válvula seg/alív. 8x 10"" FR A995-6A","40141606","000000000012035784",9500,"7003471511",1
"2317","0030112146",10,"Válvula borboleta lug triexc fire-safe 1","40141619","000000000011535307",32020.12,NA,0
"2318","0030592879",10,"Válvula borboleta lug fire-safe 24"" 150#","40141619","000000000011916524",24134.22,"7003418148",4
"2319","4002929439",10,"Monitor falha motor elétr. 100-250Vca","26131700B","000000000011279117",168000,NA,0
"2320","4002929439",20,"Monitor falha motor elétr. p/ monit. de","26131700B","000000000011786091",116816.97,"7003590941",1
"2321","4002929439",30,"Monitor falha motor elétr. 100-250Vca","26131700B","000000000011279117",330052.11,"7003590941",2
"2322","4002936809",10,"Monitor falha motor elétr. 14Vcc p/ moni","26131700B","000000000011763301",382284.94,"7003204309",3
"2323","4002936809",20,"Monitor falha motor elétr. 14Vcc p/ moni","26131700B","000000000011763301",425287.15,"7003399521",2
"2324","4002994491",10,"Acumulador Pb-ácido 12V 65Ah C20","26111707","000000000012383927",850,"7003399522",5
"2325","0030917245",10,"Tubo AC A106-B s/c 3""x0.438"" Sch160","40142101","000000000010000394",883.8,"7003655153",1
"2326","4003015108",10,"Deseng. ráp. amarra 28,6mm","31151609","000000000010777337",5153,NA,0
"2327","4003015108",20,"Deseng. ráp. amarra 28,6mm","31151609","000000000010777337",5334.02,"7003657954",1
"2328","4003015353",10,"Amarra c/malhete DN elo 76mm x 5,0m","31151600B","000000000012558470",0.1,NA,0
"2329","4003015353",20,"Amarra c/malhete DN elo 76mm x 5,0m","31151600B","000000000012558470",230540,"7003657954",3
"2330","0029576816",30,"Sensor de ruptura","40142323","000000000012015950",24803.39,"7003465377",3
"2331","4003012914",10,"Medidor vazão gás 0a60l/h 16mm","41112508","000000000012661913",50000,"7003708919",1
"2332","0030913103",10,"Transm.vazão eletromag. 0a160m3/h","41112516","000000000012641564",15000,"7003550173",8
"2333","0028693016",20,"Vv.controle globo NPS 1 Cv18,5","40141609","000000000011020931",70769.47,NA,0
"2334","0029625915",10,"Válv. controle esfera DN 1"" 300 FR","40141609","000000000012521127",25574.03,NA,0
"2335","0028692335",10,"Disco d/ruptura inox/tef 4"" p/flange","40142323","000000000010111334",3268.58,NA,0
"2336","0028692335",20,"Disco d/ruptura inox/tef 4"" p/flange","40142323","000000000010111334",3268.58,NA,0
"2337","0028692335",30,"Disco d/ruptura inox/tef 4"" p/flange","40142323","000000000010111334",4093.14,"7003418442",1
"2338","0028692335",40,"Disco d/ruptura inox/tef 4"" p/flange","40142323","000000000010111334",4676.84,NA,0
"2339","0027654120",10,"Bateria acumuladores ácida 110V 350Ah","26111700A","000000000012349998",62725.5,NA,0
"2340","0029599697",10,"Motor el. 3F 2p 1044kW 13,8kV","26101114","000000000011947256",576854,"7003397812",1
"2341","0029613127",10,"Motor el. 3F 2p 75kW 440V Ex nA","26101114","000000000012389219",32324,"7003397812",2
"2342","0028863343",10,"Posicionador intelig. 0a50mm","40141600E","000000000010584580",7969.03,"7003401921",1
